,city,coords
Wayanad,11.63309,76.089638
Chennai,13.083,80.267
Mundra,22.85,69.73
Gonda,27.133875,81.96199
Panaji,15.49889,73.82778
Udaipur,24.561683,73.67903866666667
Narayanpur,,
Tirunelveli,8.7282833,77.6955389
Hardoi,27.42,80.12
Shajapur,23.43,76.27
Kanchipuram,12.873333333333333,79.71
Jaintia Hills,,
Gandhi Nagar,23.237560000000002,72.64778100000001
Darjeeling,27.05,88.267
Bhiwadi,28.21,76.87
Jhunjhunu,28.13,75.4
Deoria,26.5,83.779999
Rohtas,25.10298888888889,84.11415
Hoshiarpur,31.53,75.92
Buxar,25.56049,83.98054
Navi Mumbai,19.02,73.02
Ri-Bhoi,25.9,91.883
Kanpur,26.449923,80.331874
Dhalai,23.933,91.85
Gurgaon,28.456,77.029
Bargarh,21.331999999999997,83.61800000000001
Fatehgarh Sahib,30.64722,76.39306
Surendranagar,22.71667,71.71667
Sitapur,27.57,80.66
Kheda,22.75,72.68
Chikkaballapur,13.43,77.72
Rishikesh,30.106676,78.296398
Imphal West,24.817,93.9
Angul,20.96204,85.43370666666667
Amreli,21.6,71.22
Gorkakhpur,29.443802,75.670266
Baramulla,34.198,74.364
Tirupati,13.65,79.42
Sirohi,24.885,72.8625
Rourkela,22.24917,84.88278
Bomdila,27.25,92.4
Pathanamthitta,9.2648,76.787
Agra,27.18,78.02
Faridkot,30.678186,74.739555
Pakur,24.63,87.85
Bongaigaon,26.476666666666667,90.56333333333333
Ghaziabad,28.663215,77.44827533333334
Kathua,32.379999999999995,75.518
Samba,,
Sundargarh,22.12,84.03
Halol,22.5,73.47
Morena,26.5,78.0
Washim,20.1,77.15
Surguja,23.117,83.2
Hingoli,19.72,77.15
Ajmer,26.4499,74.6399
Mahasamund,21.106666666666666,82.1
Jamshedpur,22.783,86.2
Chitrakoot,25.2,80.9
Rampur,28.73337725,79.75372725
Kandhamal,20.47,84.23
Pathankot,32.266814,75.6
Vizianagaram,18.12,83.42
Khargone,21.82,75.6187
SAYAN,21.317868999999998,72.881226
Gautam Buddha Nagar,28.5333,77.3891
Kolar,13.132200000000001,78.1322
Bagalkote,16.18113333333333,75.69720000000001
Pratapgarh,25.897305,81.94529700000001
Chittoor,13.2,79.1167
Betul,21.833330555555555,77.83333055555555
Farrukhabad,27.37,79.63
Jaipur,26.9,75.8
Ganganagar,29.92,73.88
Jodhpur,26.28,73.02
Ghazipur,25.58,83.57
Kota,25.162997999999998,75.845322
Hajipur,25.68,85.22
Dharwad,15.45833,75.00833
Vapi,20.372,72.917
Dantewada,18.9,81.35
Gadag,15.4167,75.6167
Hyderabad,17.37,78.48
Ramanathapuram,9.371333333333334,78.83333333333333
Kasaragod,12.5,75.0
Chandrapur,19.95,79.297
Murshidabad,24.18,88.27
Nalgonda,17.05,79.2689
Jind,29.318,76.318
Chandauli,25.27,83.27
Ichalkaranji,16.7,74.47
Mandsaur,24.03,75.08
Bareilly,28.298333333333336,79.071
Indore,22.71667,75.84722
Pontashaib,30.45,77.61999999999999
Hubli,15.36167,75.085
Khagaria,25.505553333333335,86.47611333333333
Chapra,25.779566,84.749886
Fazilka,30.403,74.025
Gorakhpur,26.7588,83.3697
Bhiwani,28.78,76.13
Seraikela Kharsawan,22.7,85.92
Banaskhantha,24.20306111111111,72.74471944444444
Tiruvallur,13.15,79.91
Nagaon,26.3503828,92.6795912
Panch Mahals,22.75,73.6
sri ganganagar,29.92,73.88
Koderma,24.47,85.6
Gandhinagar,23.223,72.65
Raigarh,21.9,83.4
Kadi,23.29785,72.331001
Bagpat,28.95,77.22
Dhenkanal,20.67,85.6
Khanna,30.702877,76.220222
Burhanpur,21.3,76.23
Khurdha,20.166,85.666
Proddattur,14.752805,78.552757
Rewa,24.530727,81.29911
Lakhimpur Kheri,28.1,80.82
Durg,21.19,81.28
Chatra,24.20451,84.87704
KAPADWANJ,23.02,73.07
Bhilwara,25.353284666666667,74.637597
Nandurbar,21.37,74.25
Kumbakonam,10.97,79.42
Ariyalur,11.13722,79.07778
Guwahati,26.17222,91.74583
Cuttack,20.52342666666667,85.78806
Hospet,15.27,76.39
Sonitpur,26.63,92.8
Lakshadweep,11.004041666666666,72.77004166666667
Tiruppur,11.109166666666667,77.33993333333333
Sawai Madhopur,25.983,76.367
Golaghat,26.52,93.97
Banda,25.499997222222223,80.49999722222222
Bathinda,30.22,74.95129333333333
Mahendragarh,28.28,76.15
Imphal East,24.8,93.95
Thoothukudi,8.716666666666667,78.21333333333334
Kaushambi,25.361053000000002,81.40316800000001
Saran,25.916663888888888,84.74999722222222
VIJAPUR,23.57,72.75
Jagdalpur,19.07,82.03
Pauri Garhwal,30.15286111111111,78.7771
Lunglei,22.88,92.73
South Goa,15.2724,73.9583
Jajapur,20.85,86.33
Sikar,27.62,75.15
Una,31.479999999999997,76.28
Ratnagiri,16.989626666666666,73.3
Ernakulam,9.98,76.28
Nabarangpur,19.23,82.55
Raipur,21.25,81.63
Kannur,11.8689,75.3555
Hazaribagh,23.98,85.35
Chikkamagaluru,13.313,75.737
SOMNATH JUNAGADHA,20.905886,70.387505
DWARKA,28.59214,77.04605099999999
Tinsukia,27.5,95.36800000000001
Itanagar,27.1,93.62
GODHRA,22.777266,73.620253
North 24 Parganas,22.13,88.5
Bengaluru,12.975750000000001,77.57325
Durgapur,23.55,87.32
Aizawl,23.72722,92.71778
Coimbatore,11.01833,76.9725
Aurangabad,19.901054,75.35247799999999
Sangrur,30.25056,75.84417
Sehore,23.2,77.08
Bhopal,23.25,77.417
Bahadurgarh,28.68,76.92
Palamu,24.03,84.07
Thane,19.172431,72.957019
Jharsuguda,21.85,84.03
Bettiah,26.80139,84.50278
East Singhbhum,22.8,86.1834
Rudrapur,22.09,82.15
CHIKHLI (GUJ.),20.75,73.07
Dakshin Dinajpur,25.22,88.76
Rae Bareli,26.23384,81.233597
Siwan,26.219621999999998,84.356659
Kochi,9.969000000000001,76.259
Saharsa,25.88,86.6
Ganjam,19.34,85.175
VALLABH VIDYANAGAR,22.533330555555555,72.9
Bokaro,23.669296000000003,86.151115
East Khasi Hills,25.57,91.88
Rohtak,28.8909,76.5796
Nayagarh,20.128,85.10466666666666
Jaunpur,25.748695,82.698441
ANJAR,23.13,70.02
Neemuch,24.476385,74.87
Chinnamiram,,
Faizabad,26.758573333333334,82.14335333333334
Birbhum,24.440908,87.85758999999999
Saharanpur,29.965999999999998,77.54733333333334
Badaun,28.05,79.12
Behrampur,19.314962,84.79409
Sant Kabir Nagar,26.78,83.06
Mau,25.94167,83.56111
Jhajjar,28.62,76.65
Mysore,12.273333333333333,75.95
Jammu,32.73,74.87
Kamrup Rural,26.333333333333332,91.25
PALANPUR,24.179331,72.426682
Jalaun,26.15,79.35
Banaskantha,24.17306,72.43139
Akola,20.7,77.0
Midnapore West,21.937288,87.776337
Sivagangai,9.87,78.48
Bahraich,27.575,81.594
Jalore,25.35,72.62
Ambur,12.78,78.7
Bhadrak,21.06,86.5
Shivpuri,25.43,77.65
Suryapet,17.144333333333332,79.62129999999999
Nainital,29.39,79.44933333333333
Vidisha,23.53,77.82
Udalguri,26.7452,92.0962
Jorhat,26.75,94.22
West Garo Hills,25.567937999999998,90.224464
Madhepura,25.91444,86.78265
Solapur,17.68,75.92
MANDVI,22.833333999999997,69.355476
Balaghat,21.8,80.18100000000001
Nadiad,22.693333333333335,72.86333333333333
Navsari,20.95,72.93
MAHUVA,21.092159,71.770462
Udupi and Uttara Kannada,13.350000000000001,74.75
Perambalur,11.23,78.88
Panchmahal,22.75,73.6
Ranchi,23.36,85.33
Vadodara,22.3,73.19666666666667
VIRPUR,22.205044,71.07949099999999
Erode,11.34083,77.71722
Sangamner,19.57,74.22
Palwal,28.135333333333335,77.32933333333332
Bhagalpur,25.25,87.0
Puri,19.81056,85.83139
Jhabua,22.77,74.6
Srikakulam,18.3,83.9
Bastar,19.07,82.03
Mokokchung,26.323333333333334,94.51
Nizamabad,18.672997222222225,78.10183333333333
Jharkhand,23.35,85.33
Kishanganj,26.07944,87.93722
Kamrup Metropolitian,26.099999999999998,91.86666388888888
UMBERGAON,20.2,72.75
Firozabad,27.15,78.415
Khammam,17.25,80.15666666666667
Nabha,30.37,76.15
Araria,26.15,87.52
Tonk,26.229376,75.780945
Surat,21.17016,72.83070722
Barpeta,26.32,91.0
Sangli,16.853,74.583
Banka,24.885483,86.920731
DHANDHUKA,22.38185,71.98663888888889
Jalgaon,20.997984,75.566711
Mancherial,18.88,79.45
Dimapur,25.9175,93.73389
Shahdol,23.28,81.35
Amareli,21.603176,71.222084
Raisen,23.33,77.8
IDAR,23.843393,73.003059
Jhalawar,24.593333333333334,76.15666666666667
Delhi,28.61,77.23
Etawah,26.77,79.03
Magadh,24.749997222222223,85.0
Hailakandi,24.68,92.57
Garhwa,24.18,83.82
Doda,33.13,75.57
Kakinada,16.954073333333334,82.24333333333333
BILIMORA,20.769569444444443,72.96133888888889
Bhind,26.5587,78.7871
BARDOLI,21.124857000000002,73.11260999999999
Tandur,17.23,77.58
Jhansi,25.44862,78.56962
Solan,30.91,77.10466666666666
Margoa,15.27361,73.95806
Tirur,10.9,75.92
Himatnagar,23.6,72.95
Ahmednagar,19.08,74.73
Alleppey,9.506666666666666,76.35333333333334
Ongole,15.506,80.049
Lohit,27.799997222222224,95.46666388888889
Modasa,23.47,73.3
Ujjain,23.169,75.78233333333334
Mathura,27.421666666666667,77.58574
Madurai,9.9122925,78.10986
KHAMBHAT,22.318083,72.61898799999999
Kapurthala,31.38,75.38
Gangtok,27.33083333333333,88.61800000000001
Mansa,23.426788000000002,72.65707400000001
Kanpur Dehat,26.3302,79.96712
RADHANPUR,23.83,71.6
Namakkal,11.232000000000001,78.168
Hosur,12.735,77.829
Unnao,26.55,80.49
Darrang,26.75,92.5
Jalpaiguri,26.52,88.73
Ramgarh,23.63438,85.526421
NALIYA,23.260580555555556,68.82655
Viluppuram,11.941,79.493
Yavatmal,20.24,78.06
Hooghly,22.9,88.389999
Kodagu,12.4208,75.7397
Churu,28.3,74.95
Malda,25.010841,88.14109800000001
DHANGARDHA,,
Bhavnagar,21.763333333333335,72.15
Munger,25.381,86.465
Nagercoil,8.17,77.43
Namchi,27.17,88.35
Warangal,18.0,79.58
Rupnagar,30.9676,76.53206666666667
Sidhi,24.42,81.88
Sheopur,25.67,76.7
Srinagar,34.09,74.79
Roorkee,29.873238866666668,77.88661853333333
Ashoknagar,24.58,77.73
Bilaspur,22.0894415,82.1496085
Lucknow,26.85,80.95
Baran,25.1,76.52
Theni,10.009,77.47
Guntur,16.2972,80.43853333333334
Thiruvananthapuram,8.491666666666667,76.935
Dhanbad,23.7998,86.4305
Rajsamand,25.07,73.88
Lakhisarai,25.16778,86.09444
Tiruvannamalai,12.22,79.07
Kaithal,29.8015,76.39973333333333
Mayurbhanj,21.933,86.733
Mohali,30.78,76.69
Travancore,8.433,76.917
Champawat,29.33,80.1
Sambalpur,21.47,83.97
Poonch,33.766987,74.092468
Panipat,29.39,76.97
Sanga Reddy,17.611629,78.08180999999999
Baleswar,21.494978,86.942657
Udham Singh Nagar,28.98,79.4
Koriya,23.733,81.817
Auraiya,26.47,79.52
Satara,17.691401,74.000938
Kannauj,27.07,79.92
Siruguppa,15.63,76.9
Begusarai,25.42,86.13
Janigir - Champa,,
Moga,30.81646,75.171707
Ponda,15.4,74.02
Howrah,22.58444,88.26639
Sheikhpura,25.14028,85.85083
Balasore,21.49,86.93
Dindigul,10.35,77.95
Malegaon,19.84,75.54333333333334
Silchar,24.82,92.8
Chidambaram,11.396666666666667,79.69666666666667
Jashpur,22.9,84.15
Pulwama,33.54666666666667,74.92
Chhatarpur,24.72,79.53333333333333
Guna,24.64691111111111,77.3113
Kottayam,9.5947087,76.4855729
Amravati,20.927220000000002,77.75981333333333
Nagpur,21.15,79.083
Pilibhit,28.6497,79.8724
Jamnagar,22.47,70.07
SURENDERNAGAR,22.728392,71.637077
Nashik,20.0,73.78
Kushinagar,26.741,83.888
Dindori,22.941793,81.076843
Kabri Anglong,26.0,93.49999722222222
Valsad,20.616666666666667,72.92733333333334
Purulia,23.336666666666666,86.36333333333333
Dadra & nagar Haveli,,
West Godavari,16.117,81.017
Kashipur,29.210421,78.96183
Phagwara,31.22,75.77
Pune,18.52028,73.85667
Gulbarga,17.12,76.31
Barwani,22.03,74.9
Patna,25.6,85.1
Harda,22.33,77.1
Anantapur,14.68,77.59933333333333
Dausa,26.8888,76.33500000000001
Baramati,18.15,74.58
Tezpur,26.63,92.8
Shimoga,13.933,75.567
Godda,24.83,87.22
Damoh,23.85333333333333,79.45
Umaria,23.393333333333334,80.27666666666666
Thrissur,10.52,76.21
Margao,15.27361,73.95806
Aligarh,27.88,78.08
Barabanki,26.937834,81.18832400000001
Sonepur,20.848015,83.895004
Pali,25.771314999999998,73.323685
Uttar Dinajpur,25.62,88.12
Thiruvalla,9.383452,76.57405899999999
Bidar,17.9,77.5
Rajgarh,28.664081999999997,75.38063
Kohima,25.670066666666667,94.1118
Katihar,25.53,87.58
Karimnagar,18.43694,79.12417
Kargil,34.55,76.133
Lalitpur,24.68786,78.412018
Ballia,25.760392,84.147055
Gurdaspur,32.0333,75.4
nan,19.92718888888889,84.5820111111111
Karnataka,12.97,77.5
Beed,18.99,75.76
Tanuku,16.75,81.7
Kadapa,14.47,78.82
Daman,20.41431111111111,72.83236111111111
West Singhbhum,22.5667,85.8167
Baddi,30.928,76.796
Veraval,20.906666666666666,70.37
Rajnandgaon,21.1,81.03
Palakkad,10.77,76.65
Sindhudurg,16.043769,73.461416
Shimla,31.27222,77.14814666666666
Dehradun,30.318,78.029
Gaya,24.796861111111113,85.00385
Kupwara,34.52583,74.25528
Dholpur,26.7,77.9
Kailashahar,24.33,92.02
Alwar,27.55652,76.62369266666666
Samastipur,25.862931,85.781064
Mehsana,23.6,72.4
Varanasi,25.28,82.96
Dibrugarh,27.479888888888887,94.90836944444445
Udhampur,32.916534,75.132607
GANDEVI,20.81213888888889,72.99811111111111
Katni,23.48,80.4
Faridabad,28.4211,77.3078
Korba,22.363848,82.73484
Fatehpur,27.095018,77.668846
Kharagpur,22.330239,87.323653
Amritsar,31.636666666666667,74.86333333333333
Chandigarh,30.746666666666666,76.78333333333333
BAJWA,,
Sonbhadra,24.68972,83.06528
Hamirpur,31.690783,76.517715
Azamgarh,26.068,83.184
Bijapur,16.83,75.70666666666666
Nalanda,25.13667,85.44389
Osmanabad,18.31944,76.07361
Hanumangarh,29.58,74.32
Chamarajanagar,11.924,76.94346666666667
Karad,17.2718765,74.1800125
Tarn Taran,31.45,74.92530000000001
Vellore,12.920145999999999,79.132204
Kollam,8.88,76.6
Mirzapur,25.147333333333332,82.57266666666666
Basti,26.822845,82.763443
KAMREJ,21.26919,72.95864900000001
Banswara,23.55,74.45
DHORAJI,21.73358888888889,70.4500388888889
Rangareddy,17.3,78.1
Marigaon,26.253317,92.342405
Jabalpur,23.167,79.933
Keonjhar,21.63,85.58
Silvassa,20.27,73.02
Haridwar,29.945,78.163
SILVASA,20.27,73.02
North Cachar Hills,25.499997222222223,93.0
Daman & Diu,20.42,72.83
Chittorgarh,24.88,74.63
Salem,11.664325,78.146011
Sitamarhi,26.6,85.48
Virudhunagar,9.583,77.95
Gondia,21.4598,80.195
Medak,18.040666666666667,78.26533333333333
Bhubaneswar,20.27,85.84
Kolkata,22.5726,88.3639
Shahjahanpur,27.88,79.91
Tadipatri,14.92,78.02
Goalpara,26.17,90.62
Janjgir-Champa,22.01694,82.56694
LUNAWADA,23.133257,73.616074
Parbhani,19.2672925,76.780765
Junagadh,21.52,70.46533333333333
AMALSAD,20.817595,72.954918
VISNAGAR,23.697231,72.544571
Ropar,30.9676,76.53206666666667
Dhule,20.89981333333333,74.77314666666668
Bolangir,20.72,83.48
Fatehabad,29.511778,75.45521500000001
Nadia,23.4,88.5
Damanjodi,18.82,82.72
Papum Pare,27.15,93.72
Lakhimpur,27.235169444444445,94.10356944444443
Siddipet,18.1,78.85
BHACHAU,23.293039,70.33904299999999
Boudh,20.84,84.32
Jalandhar,31.2569,75.4432
Narmada,21.989588133333335,75.79125933333333
Pudukkottai,10.38,78.82
Datia,25.67,78.47
Bankura,23.25,87.07
Thoubal,24.63,94.02
Jagatsinghpur,20.27,86.17
Nanded,19.15,77.3
Idukki,9.85,76.94
Mainpuri,27.23,79.02
Kanyakumari,8.082666666666666,77.554
Asansol,23.68,86.99
Allahabad,25.45,81.85
Tumkur,13.34,77.1
Churachandpur,24.333,93.683
