data_variant;dataset;mean_test_score;mean_train_score;param_class_weight;param_max_depth;param_max_features;params
_pca;2;0.7365907353078331;0.7716706130893551;{0: 1, 1: 30};3;;{'class_weight': {0: 1, 1: 30}, 'max_depth': 3, 'max_features': None}
_pca;2;0.7220826595382626;0.7551252647908133;{0: 1, 1: 30};3;0.5;{'class_weight': {0: 1, 1: 30}, 'max_depth': 3, 'max_features': 0.5}
_pca;2;0.7434277316082052;0.7656253089958518;{0: 1, 1: 30};3;0.75;{'class_weight': {0: 1, 1: 30}, 'max_depth': 3, 'max_features': 0.75}
_pca;2;0.753006793701198;0.8326566115360765;{0: 1, 1: 30};5;;{'class_weight': {0: 1, 1: 30}, 'max_depth': 5, 'max_features': None}
_pca;2;0.7487888310412878;0.8148614605992762;{0: 1, 1: 30};5;0.5;{'class_weight': {0: 1, 1: 30}, 'max_depth': 5, 'max_features': 0.5}
_pca;2;0.756709683316826;0.8244104595751574;{0: 1, 1: 30};5;0.75;{'class_weight': {0: 1, 1: 30}, 'max_depth': 5, 'max_features': 0.75}
_pca;2;0.7075599181888612;0.8836776271308474;{0: 1, 1: 30};7;;{'class_weight': {0: 1, 1: 30}, 'max_depth': 7, 'max_features': None}
_pca;2;0.7503098793169307;0.8670584836585006;{0: 1, 1: 30};7;0.5;{'class_weight': {0: 1, 1: 30}, 'max_depth': 7, 'max_features': 0.5}
_pca;2;0.733446634825102;0.8769953836795403;{0: 1, 1: 30};7;0.75;{'class_weight': {0: 1, 1: 30}, 'max_depth': 7, 'max_features': 0.75}
_pca;2;0.6511736706430313;0.9287823796659738;{0: 1, 1: 30};9;;{'class_weight': {0: 1, 1: 30}, 'max_depth': 9, 'max_features': None}
_pca;2;0.6754641663148335;0.9167776584248174;{0: 1, 1: 30};9;0.5;{'class_weight': {0: 1, 1: 30}, 'max_depth': 9, 'max_features': 0.5}
_pca;2;0.675165513634526;0.9196407262776161;{0: 1, 1: 30};9;0.75;{'class_weight': {0: 1, 1: 30}, 'max_depth': 9, 'max_features': 0.75}
_pca;2;0.5928074558187019;0.9578895621228793;{0: 1, 1: 30};11;;{'class_weight': {0: 1, 1: 30}, 'max_depth': 11, 'max_features': None}
_pca;2;0.6484159276393253;0.9519773043735382;{0: 1, 1: 30};11;0.5;{'class_weight': {0: 1, 1: 30}, 'max_depth': 11, 'max_features': 0.5}
_pca;2;0.6372989828060606;0.9553047159465228;{0: 1, 1: 30};11;0.75;{'class_weight': {0: 1, 1: 30}, 'max_depth': 11, 'max_features': 0.75}
_pca;2;0.6173196599938565;0.9827962921595113;{0: 1, 1: 30};15;;{'class_weight': {0: 1, 1: 30}, 'max_depth': 15, 'max_features': None}
_pca;2;0.6014665768778422;0.981010144677098;{0: 1, 1: 30};15;0.5;{'class_weight': {0: 1, 1: 30}, 'max_depth': 15, 'max_features': 0.5}
_pca;2;0.5833212897737968;0.9832669524918369;{0: 1, 1: 30};15;0.75;{'class_weight': {0: 1, 1: 30}, 'max_depth': 15, 'max_features': 0.75}
_pca;2;0.5724603064990383;0.9934203296797416;{0: 1, 1: 30};20;;{'class_weight': {0: 1, 1: 30}, 'max_depth': 20, 'max_features': None}
_pca;2;0.5596546768974655;0.9942329265948281;{0: 1, 1: 30};20;0.5;{'class_weight': {0: 1, 1: 30}, 'max_depth': 20, 'max_features': 0.5}
_pca;2;0.5756668008702092;0.9930596801628297;{0: 1, 1: 30};20;0.75;{'class_weight': {0: 1, 1: 30}, 'max_depth': 20, 'max_features': 0.75}
_pca;2;0.7389630466388606;0.7710815153514753;{0: 1, 1: 40};3;;{'class_weight': {0: 1, 1: 40}, 'max_depth': 3, 'max_features': None}
_pca;2;0.7236999099728814;0.7558403549003393;{0: 1, 1: 40};3;0.5;{'class_weight': {0: 1, 1: 40}, 'max_depth': 3, 'max_features': 0.5}
_pca;2;0.7366435357250128;0.7656351479398109;{0: 1, 1: 40};3;0.75;{'class_weight': {0: 1, 1: 40}, 'max_depth': 3, 'max_features': 0.75}
_pca;2;0.7548668847158535;0.8301307280103893;{0: 1, 1: 40};5;;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': None}
_pca;2;0.7505770353993139;0.8143512184986792;{0: 1, 1: 40};5;0.5;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': 0.5}
_pca;2;0.7588635200241259;0.8254469163791429;{0: 1, 1: 40};5;0.75;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': 0.75}
