dataset;data_variant;max_depth;class_weight;max_features;auc_train;auc_test;f1_train;f1_test;accuracy_train;accuracy_test;precision_train;precision_test;recall_train;recall_test;TN_train;TN_test;FN_train;FN_test;FP_train;FP_test;TP_train;TP_test
1;_pca;5;50;0.75;0.7655359226130629;0.7363049779036597;0.07494475527763413;0.0701254275940707;0.698536734850226;0.7001149161112388;0.8345549738219895;0.7735849056603774;0.03923402579501822;0.036727381307853094;44793.0;14985.0;19517.0;6452.0;158.0;72.0;797.0;246.0
1;_pca;5;50;;0.7533541313711969;0.7174561967890114;0.0805450919565699;0.07328091015559644;0.7456829847544626;0.7453918639393243;0.7612565445026178;0.6886792452830188;0.04252207989705796;0.03869941685810214;47940.0;15997.0;16370.0;5440.0;228.0;99.0;727.0;219.0
1;_pca;5;60;0.75;0.7662025643134002;0.7389653256301997;0.07367221335764759;0.06929872998343456;0.6886692714318547;0.6900942312112158;0.8460732984293193;0.789308176100629;0.038512869399428024;0.03624025411492925;44138.0;14762.0;20172.0;6675.0;147.0;67.0;808.0;251.0
1;_pca;5;60;;0.7625879147226173;0.7413279602685418;0.07062876830318691;0.06736020806241873;0.6693480425955719;0.670328660078143;0.8586387434554974;0.8144654088050315;0.03682910397484842;0.03513293543136191;42865.0;14324.0;21445.0;7113.0;135.0;59.0;820.0;259.0
1;_pca;5;70;0.75;0.767549077154913;0.7397748499845826;0.07074172914813404;0.06645367412140576;0.6638780357006052;0.664215122960239;0.8743455497382199;0.8176100628930818;0.03686208723291542;0.03463434128147063;42493.0;14190.0;21817.0;7247.0;120.0;58.0;835.0;260.0
1;_pca;5;70;;0.7639344275641303;0.7421374846229246;0.06805399325084366;0.06480473945109419;0.6445568068643224;0.6444495518271661;0.8869109947643979;0.8427672955974843;0.035384551113339185;0.0336979756066893;41220.0;13752.0;23090.0;7685.0;108.0;50.0;847.0;268.0
1;_pca;5;80;0.75;0.7638360005242928;0.7439663774177544;0.06791334641412726;0.0651252874954606;0.6433463571592737;0.6450011491611124;0.8879581151832461;0.8459119496855346;0.03530685319343826;0.03386629736875236;41140.0;13763.0;23170.0;7674.0;107.0;49.0;848.0;269.0
1;_pca;5;80;;0.7651812107747079;0.7453987595067952;0.06806638672265547;0.06531204644412192;0.6429479813069793;0.6447713169386348;0.8910994764397906;0.8490566037735849;0.03538461538461538;0.033962264150943396;41111.0;13757.0;23199.0;7680.0;104.0;48.0;851.0;270.0
1;_pca;6;50;0.75;0.787378095790921;0.7387224023121137;0.086139896373057;0.07737008135480657;0.7405653872672949;0.7445644679384049;0.8356020942408376;0.7327044025157232;0.04541057303818358;0.04084136722173532;47535.0;15965.0;16775.0;5472.0;157.0;85.0;798.0;233.0
1;_pca;6;50;;0.7829705752812172;0.7340781808212041;0.08081510934393639;0.0716310998358454;0.7166321918332951;0.7140427487933808;0.8513089005235602;0.7547169811320755;0.04242108009392121;0.03759987466708444;45958.0;15294.0;18352.0;6143.0;142.0;78.0;813.0;240.0
1;_pca;6;60;0.75;0.7836532551344478;0.741651711333165;0.07785410533202487;0.07122425629290619;0.697648050256646;0.7014939094461043;0.8722513089005236;0.7830188679245284;0.04074545098806496;0.037308960143841774;44699.0;15012.0;19611.0;6425.0;122.0;69.0;833.0;249.0
1;_pca;6;60;;0.7836759283607462;0.7368688651226953;0.07980171073094867;0.0711889132020423;0.7098904466406191;0.7073316478970352;0.8596858638743455;0.7672955974842768;0.04184292339839967;0.037325990515527;45510.0;15144.0;18800.0;6293.0;134.0;74.0;821.0;244.0
1;_pca;6;70;0.75;0.7837910041430538;0.7334595038320566;0.07064439140811456;0.06336585953499578;0.6420133302689037;0.6426108940473454;0.9298429319371728;0.8270440251572327;0.0367169733305768;0.03294500814230239;41013.0;13717.0;23297.0;7720.0;67.0;55.0;888.0;263.0
1;_pca;6;70;;0.784484511784786;0.7378484798075859;0.08020711215318484;0.07162777043886688;0.711483950049797;0.7092622385658469;0.8596858638743455;0.7672955974842768;0.04206589127427371;0.03756735950731332;45614.0;15186.0;18696.0;6251.0;134.0;74.0;821.0;244.0
1;_pca;6;80;0.75;0.7851344233307092;0.7484843697328109;0.07487891085220579;0.06941489361702127;0.6751551367501724;0.6783268214203632;0.8984293193717278;0.8207547169811321;0.03906748019306074;0.036239933351846706;43206.0;14496.0;21104.0;6941.0;97.0;57.0;858.0;261.0
1;_pca;6;80;;0.7817720693532066;0.7415501998983126;0.07609632216226021;0.06960110041265474;0.6878418754309354;0.6890829694323144;0.8785340314136125;0.7955974842767296;0.03977057262040197;0.03639240506329114;44053.0;14738.0;20257.0;6699.0;116.0;65.0;839.0;253.0
1;_pca;7;50;0.75;0.8014471787097998;0.7384947350478205;0.07899703424103532;0.06836913930549925;0.6859572512066192;0.6830613652034015;0.9204188481675393;0.7955974842767296;0.041269543171040896;0.03571932796837498;43890.0;14607.0;20420.0;6830.0;76.0;65.0;879.0;253.0
