city,coords_string
Gaya,"['title>gps coordinates of gaya, india. latitude: 24.7969 longitude: 85.0039', 'meta name=""dcterms.title"" content=""gps coordinates of gaya, india. latitude: 24.7969 longitude: 85.0039"">\n', 'meta property=""og:title"" content=""gps coordinates of gaya, india. latitude: 24.7969 longitude: 85.0039"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/gaya"" data-title=""gps coordinates of gaya, india. latitude: 24.7969 longitude: 85.0039"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Magadh,"['title>gps coordinates of magadh division, india. latitude: 24.7500 longitude: 85.0000', 'meta name=""dcterms.title"" content=""gps coordinates of magadh division, india. latitude: 24.7500 longitude: 85.0000"">\n', 'meta property=""og:title"" content=""gps coordinates of magadh division, india. latitude: 24.7500 longitude: 85.0000"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/56971/magadh-division"" data-title=""gps coordinates of magadh division, india. latitude: 24.7500 longitude: 85.0000"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
DEESA,"['title>gps coordinates of ahmedabad, india. latitude: 23.0300 longitude: 72.5800', 'meta name=""dcterms.title"" content=""gps coordinates of ahmedabad, india. latitude: 23.0300 longitude: 72.5800"">\n', 'meta property=""og:title"" content=""gps coordinates of ahmedabad, india. latitude: 23.0300 longitude: 72.5800"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/977/ahmedabad"" data-title=""gps coordinates of ahmedabad, india. latitude: 23.0300 longitude: 72.5800"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Satara,"['title>gps coordinates of satara (city), india. latitude: 17.6800 longitude: 73.9800', 'meta name=""dcterms.title"" content=""gps coordinates of satara (city), india. latitude: 17.6800 longitude: 73.9800"">\n', 'meta property=""og:title"" content=""gps coordinates of satara (city), india. latitude: 17.6800 longitude: 73.9800"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/13227/satara-city"" data-title=""gps coordinates of satara (city), india. latitude: 17.6800 longitude: 73.9800"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Ponda,"['title>gps coordinates of ponda, india. latitude: 15.4034 longitude: 74.0152', 'meta name=""dcterms.title"" content=""gps coordinates of ponda, india. latitude: 15.4034 longitude: 74.0152"">\n', 'meta property=""og:title"" content=""gps coordinates of ponda, india. latitude: 15.4034 longitude: 74.0152"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/ponda"" data-title=""gps coordinates of ponda, india. latitude: 15.4034 longitude: 74.0152"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Shahpura,"['title>gps coordinates of shahpura, bhilwara, india. latitude: 25.6300 longitude: 74.9300', 'meta name=""dcterms.title"" content=""gps coordinates of shahpura, bhilwara, india. latitude: 25.6300 longitude: 74.9300"">\n', 'meta property=""og:title"" content=""gps coordinates of shahpura, bhilwara, india. latitude: 25.6300 longitude: 74.9300"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/92796/shahpura-bhilwara"" data-title=""gps coordinates of shahpura, bhilwara, india. latitude: 25.6300 longitude: 74.9300"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Shilong,"['title>gps coordinates of shillong, india. latitude: 25.5700 longitude: 91.8800', 'meta name=""dcterms.title"" content=""gps coordinates of shillong, india. latitude: 25.5700 longitude: 91.8800"">\n', 'meta property=""og:title"" content=""gps coordinates of shillong, india. latitude: 25.5700 longitude: 91.8800"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/3000/shillong"" data-title=""gps coordinates of shillong, india. latitude: 25.5700 longitude: 91.8800"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Tonk,"['title>gps coordinates of tonk, india, india. latitude: 26.1700 longitude: 75.7800', 'meta name=""dcterms.title"" content=""gps coordinates of tonk, india, india. latitude: 26.1700 longitude: 75.7800"">\n', 'meta property=""og:title"" content=""gps coordinates of tonk, india, india. latitude: 26.1700 longitude: 75.7800"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/45997/tonk-india"" data-title=""gps coordinates of tonk, india, india. latitude: 26.1700 longitude: 75.7800"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Behrampur,"['title>gps coordinates of brahmapur, india. latitude: 19.3115 longitude: 84.7929', 'meta name=""dcterms.title"" content=""gps coordinates of brahmapur, india. latitude: 19.3115 longitude: 84.7929"">\n', 'meta property=""og:title"" content=""gps coordinates of brahmapur, india. latitude: 19.3115 longitude: 84.7929"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/brahmapur"" data-title=""gps coordinates of brahmapur, india. latitude: 19.3115 longitude: 84.7929"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Khanna,"['title>gps coordinates of khanna, india. latitude: 30.7055 longitude: 76.2220', 'meta name=""dcterms.title"" content=""gps coordinates of khanna, india. latitude: 30.7055 longitude: 76.2220"">\n', 'meta property=""og:title"" content=""gps coordinates of khanna, india. latitude: 30.7055 longitude: 76.2220"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/khanna"" data-title=""gps coordinates of khanna, india. latitude: 30.7055 longitude: 76.2220"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
