param_learning_rate;param_n_estimators;param_max_depth;param_max_features;params;mean_train_score;mean_test_score
0.01;20;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 20};0.7852478762991221;0.7620648060312187
0.01;50;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 50};0.8092234722424085;0.7816685994901037
0.01;100;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 100};0.8198170611252793;0.7887295661484045
0.01;200;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 200};0.8327981310992962;0.7963601459103111
0.01;500;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 500};0.856675495235314;0.8075356866098595
0.01;20;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 20};0.8105450546006704;0.7808823988237024
0.01;50;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 50};0.8202196703083732;0.7869776597398644
0.01;100;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 100};0.82896853063292;0.7916828691013853
0.01;200;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 200};0.840605103793606;0.7984481521603993
0.01;500;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 500};0.8665871896695329;0.8091861090756398
0.01;20;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 20};0.8059365714785373;0.7766598843925849
0.01;50;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 50};0.8157969318422682;0.7825083094604651
0.01;100;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 100};0.8260304620587944;0.7908558850338592
0.01;200;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 200};0.8376502853179587;0.7972100921452984
0.01;500;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 500};0.8624881504554895;0.8083373101588743
0.01;20;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 20};0.800796879381763;0.7743117826108256
0.01;50;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 50};0.8141370712553424;0.7834289372597751
0.01;100;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 100};0.8234689408249609;0.7902328052432982
0.01;200;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 200};0.8353169116927855;0.7975794079094163
0.01;500;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 500};0.8601405490478502;0.8079790541160609
0.01;20;5;;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': None, 'n_estimators': 20};0.8245527828309488;0.7830125353403165
0.01;50;5;;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': None, 'n_estimators': 50};0.8422936586367997;0.7920414396471206
