param_learning_rate;param_n_estimators;param_max_depth;param_max_features;params;mean_train_score;mean_test_score
0.01;20;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 20};0.823665016321238;0.8116463938945725
0.01;50;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 50};0.8353588905019146;0.8217539979797144
0.01;100;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 100};0.8453598998316709;0.8288956430316485
0.01;200;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 200};0.8543481893921472;0.8327128997675328
0.01;500;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 500};0.8729405864569517;0.8423208701666605
0.01;20;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 20};0.8357727991707155;0.8243441518776639
0.01;50;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 50};0.8408389157632021;0.826896149640724
0.01;100;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 100};0.8465430660916035;0.8289744599849778
0.01;200;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 200};0.8562640777939585;0.834030083119204
0.01;500;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 500};0.8746499609221282;0.8439578866585703
0.01;20;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 20};0.8338608451446752;0.8210696452210057
0.01;50;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 50};0.839238780713172;0.8243069053168505
0.01;100;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 100};0.8473711085990854;0.8299167226726988
0.01;200;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 200};0.855649342482047;0.8333647380946937
0.01;500;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 500};0.87469322671162;0.8431217150653973
0.01;20;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 20};0.831878484142219;0.8182973076789003
0.01;50;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 50};0.8376055556428417;0.822238400109819
0.01;100;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 100};0.8460748912035666;0.8288850727412266
0.01;200;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 200};0.855283063730179;0.8332550158963665
0.01;500;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 500};0.8741794938422939;0.8430046786671888
0.01;20;5;;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': None, 'n_estimators': 20};0.8544142225527487;0.8223540684946563
0.01;50;5;;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': None, 'n_estimators': 50};0.8688319433896763;0.8325646932958499
0.01;100;5;;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': None, 'n_estimators': 100};0.8806835674057664;0.8375787475871602
0.01;200;5;;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': None, 'n_estimators': 200};0.8952928990730737;0.8406898049835014
0.01;500;5;;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': None, 'n_estimators': 500};0.9200225292445425;0.846158805499797
0.01;20;5;0.5;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 20};0.8743630378893867;0.8350489885290913
0.01;50;5;0.5;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 50};0.8820484334086505;0.8362415805108717
0.01;100;5;0.5;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 100};0.8916535851851389;0.839339801000644
0.01;200;5;0.5;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 200};0.9045475843823505;0.8432295734480126
0.01;500;5;0.5;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 500};0.9293514999848126;0.8488228807008587
0.01;20;5;0.75;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 20};0.8702590331223525;0.8338216921744928
0.01;50;5;0.75;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 50};0.8784169376068833;0.8363752392097599
0.01;100;5;0.75;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 100};0.8887271172313116;0.8397506753849756
0.01;200;5;0.75;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 200};0.9009426399869582;0.8426542934016311
0.01;500;5;0.75;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 500};0.9265560155024835;0.8473892328822791
0.01;20;5;0.9;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 20};0.8657219927997952;0.8325690183520126
0.01;50;5;0.9;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 50};0.8747046349665469;0.8359337111736189
0.01;100;5;0.9;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 100};0.885020435068837;0.8389888615393983
0.01;200;5;0.9;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 200};0.8994595571546437;0.8417528424202051
0.01;500;5;0.9;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 500};0.9237351448968121;0.8464801316880397
0.01;20;7;;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': None, 'n_estimators': 20};0.8855670016497379;0.8196640722428556
0.01;50;7;;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': None, 'n_estimators': 50};0.9029958113930459;0.8310343704739348
0.01;100;7;;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': None, 'n_estimators': 100};0.9216634842144525;0.8368952958841502
0.01;200;7;;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': None, 'n_estimators': 200};0.9423686841048997;0.8405060256448934
0.01;500;7;;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': None, 'n_estimators': 500};0.9645360554083975;0.8452684061985215
0.01;20;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 20};0.9208912712177499;0.8357061040838184
0.01;50;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 50};0.9337146397326698;0.8388819436612527
0.01;100;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 100};0.9471612499960178;0.8408482607074598
0.01;200;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 200};0.960373395213159;0.8435899698819431
0.01;500;7;0.5;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 500};0.9775665974954353;0.8463843009879358
0.01;20;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 20};0.9117696978905239;0.8350360688408472
0.01;50;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 50};0.9259375853292305;0.83777568729893
0.01;100;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 100};0.9403488276001807;0.8404772453433588
0.01;200;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 200};0.9541450299123457;0.842232421766749
0.01;500;7;0.75;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 500};0.9741875455455813;0.8455406665288677
0.01;20;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 20};0.9030928602643185;0.8315413307981043
0.01;50;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 50};0.9184073286994269;0.8345128358357253
0.01;100;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 100};0.9339624671887736;0.8384948439362854
0.01;200;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 200};0.9487859775627301;0.8402163230145128
0.01;500;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 500};0.9700208539889491;0.8449195429345472
0.05;20;3;;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 20};0.8449739309691208;0.8276797197992815
