param_learning_rate;param_n_estimators;param_max_depth;param_max_features;params;mean_train_score;mean_test_score
0.01;20;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 20};0.8240582283595772;0.8125938681494008
0.01;50;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 50};0.8365881731030623;0.8227934592145474
0.01;100;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 100};0.8459255967814419;0.8292277286918088
0.01;200;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 200};0.854935728712281;0.8330466983938262
0.01;500;3;;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': None, 'n_estimators': 500};0.8735112108937063;0.8425492119590848
0.01;20;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 20};0.8365695412376658;0.8244821902039617
0.01;50;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 50};0.8412925031995738;0.8268520002855623
0.01;100;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 100};0.8470057012566812;0.8289126132467783
0.01;200;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 200};0.856016809369793;0.8337974774120591
0.01;500;3;0.5;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 500};0.8749965355550284;0.8435856788813199
0.01;20;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 20};0.8337827900512232;0.8211730711606621
0.01;50;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 50};0.8392594000236129;0.8246672498621886
0.01;100;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 100};0.847648323758973;0.8303860789817324
0.01;200;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 200};0.8555837328884807;0.8337885810953217
0.01;500;3;0.75;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 500};0.8746557065842133;0.8436996776283839
0.01;20;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 20};0.8315077987713131;0.8180821493599296
0.01;50;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 50};0.8382977299706713;0.8235195539132933
0.01;100;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 100};0.8469560056715231;0.8292814326657124
0.01;200;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 200};0.8558839966293001;0.8334821017035114
0.01;500;3;0.9;{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 500};0.8742394845452142;0.8429264213935944
0.01;20;5;;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': None, 'n_estimators': 20};0.8550935248548579;0.8238215859724931
0.01;50;5;;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': None, 'n_estimators': 50};0.869412459072902;0.8330907545838416
0.01;100;5;;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': None, 'n_estimators': 100};0.8806805472637055;0.8382800726540939
0.01;200;5;;{'learning_rate': 0.01, 'max_depth': 5, 'max_features': None, 'n_estimators': 200};0.8956139607912144;0.8408801321398335
