dataset;data_variant;param_learning_rate;param_n_estimators;param_max_depth;param_max_features;mean_train_score;mean_test_score
2;_scaled;0.01;20;3;;0.823665016321238;0.8116463938945725
2;_scaled;0.01;50;3;;0.8353588905019146;0.8217539979797144
2;_scaled;0.01;100;3;;0.8453598998316709;0.8288956430316485
2;_scaled;0.01;200;3;;0.8543481893921472;0.8327128997675328
2;_scaled;0.01;500;3;;0.8729405864569517;0.8423208701666605
2;_scaled;0.01;20;3;0.5;0.8357727991707155;0.8243441518776639
2;_scaled;0.01;50;3;0.5;0.8408389157632021;0.826896149640724
2;_scaled;0.01;100;3;0.5;0.8465430660916035;0.8289744599849778
2;_scaled;0.01;200;3;0.5;0.8562640777939585;0.834030083119204
2;_scaled;0.01;500;3;0.5;0.8746499609221282;0.8439578866585703
2;_scaled;0.01;20;3;0.75;0.8338608451446752;0.8210696452210057
2;_scaled;0.01;50;3;0.75;0.839238780713172;0.8243069053168505
2;_scaled;0.01;100;3;0.75;0.8473711085990854;0.8299167226726988
2;_scaled;0.01;200;3;0.75;0.855649342482047;0.8333647380946937
2;_scaled;0.01;500;3;0.75;0.87469322671162;0.8431217150653973
2;_scaled;0.01;20;3;0.9;0.831878484142219;0.8182973076789003
2;_scaled;0.01;50;3;0.9;0.8376055556428417;0.822238400109819
2;_scaled;0.01;100;3;0.9;0.8460748912035666;0.8288850727412266
2;_scaled;0.01;200;3;0.9;0.855283063730179;0.8332550158963665
2;_scaled;0.01;500;3;0.9;0.8741794938422939;0.8430046786671888
2;_scaled;0.01;20;5;;0.8544142225527487;0.8223540684946563
2;_scaled;0.01;50;5;;0.8688319433896763;0.8325646932958499
2;_scaled;0.01;100;5;;0.8806835674057664;0.8375787475871602
2;_scaled;0.01;200;5;;0.8952928990730737;0.8406898049835014
2;_scaled;0.01;500;5;;0.9200225292445425;0.846158805499797
2;_scaled;0.01;20;5;0.5;0.8743630378893867;0.8350489885290913
2;_scaled;0.01;50;5;0.5;0.8820484334086505;0.8362415805108717
2;_scaled;0.01;100;5;0.5;0.8916535851851389;0.839339801000644
