data_variant;dataset;mean_test_score;mean_train_score;param_class_weight;param_max_depth;param_max_features;param_n_estimators;params
_scaled;2;0.842582995191618;0.8717483824201789;{0: 1, 1: 40};5;;100;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': None, 'n_estimators': 100}
_scaled;2;0.8427147315025635;0.8717241556329846;{0: 1, 1: 40};5;;300;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': None, 'n_estimators': 300}
_scaled;2;0.8424891935736631;0.8718344469726955;{0: 1, 1: 40};5;;400;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': None, 'n_estimators': 400}
_scaled;2;0.842623793883988;0.871772821304269;{0: 1, 1: 40};5;;500;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': None, 'n_estimators': 500}
_scaled;2;0.8427322091442623;0.8718411119743771;{0: 1, 1: 40};5;;700;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': None, 'n_estimators': 700}
_scaled;2;0.8434591315429466;0.8740085161882805;{0: 1, 1: 40};5;0.75;100;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 100}
_scaled;2;0.8442387794585522;0.8744410257994172;{0: 1, 1: 40};5;0.75;300;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 300}
_scaled;2;0.8442686384163263;0.8747240519889049;{0: 1, 1: 40};5;0.75;400;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 400}
_scaled;2;0.8440803133848375;0.8745414310956003;{0: 1, 1: 40};5;0.75;500;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 500}
_scaled;2;0.8442123478601335;0.8744978188280994;{0: 1, 1: 40};5;0.75;700;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 700}
_scaled;2;0.843217786125383;0.873048594329763;{0: 1, 1: 40};5;0.9;100;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 100}
_scaled;2;0.8432625944926516;0.873065976087844;{0: 1, 1: 40};5;0.9;300;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 300}
_scaled;2;0.843241906853497;0.8733745509019756;{0: 1, 1: 40};5;0.9;400;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 400}
_scaled;2;0.8434016975129729;0.8733267768346581;{0: 1, 1: 40};5;0.9;500;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 500}
_scaled;2;0.8433720132543159;0.8734758292357888;{0: 1, 1: 40};5;0.9;700;{'class_weight': {0: 1, 1: 40}, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 700}
_scaled;2;0.8449092190466586;0.8885650184655768;{0: 1, 1: 40};6;;100;{'class_weight': {0: 1, 1: 40}, 'max_depth': 6, 'max_features': None, 'n_estimators': 100}
_scaled;2;0.8452789736283192;0.8888420625777799;{0: 1, 1: 40};6;;300;{'class_weight': {0: 1, 1: 40}, 'max_depth': 6, 'max_features': None, 'n_estimators': 300}
_scaled;2;0.8452429719306943;0.8890065947426948;{0: 1, 1: 40};6;;400;{'class_weight': {0: 1, 1: 40}, 'max_depth': 6, 'max_features': None, 'n_estimators': 400}
_scaled;2;0.8453648267860545;0.8891040873397514;{0: 1, 1: 40};6;;500;{'class_weight': {0: 1, 1: 40}, 'max_depth': 6, 'max_features': None, 'n_estimators': 500}
_scaled;2;0.8452368009322189;0.8891316458326844;{0: 1, 1: 40};6;;700;{'class_weight': {0: 1, 1: 40}, 'max_depth': 6, 'max_features': None, 'n_estimators': 700}
