dataset;data_variant;n_estimators;max_depth;max_features;class_weight;auc_train;auc_test;f1_train;f1_test;accuracy_train;accuracy_test;precision_train;precision_test;recall_train;recall_test;TN_train;TN_test;FN_train;FN_test;FP_train;FP_test;TP_train;TP_test
2;_scaled;10;5;0.65;20;0.606732482795621;0.5856685364134132;0.1591936044490789;0.1319371727748691;0.9629357235884471;0.9618938175132153;0.23979057591623038;0.19811320754716982;0.11914672216441206;0.0989010989010989;62617.0;20863.0;1693.0;574.0;726.0;255.0;229.0;63.0
2;_scaled;10;5;0.65;25;0.7017122152922567;0.6468164869826254;0.14034021871202915;0.11259541984732822;0.9132766413851222;0.914502413238336;0.4837696335078534;0.3710691823899371;0.08207496891099662;0.06636670416197975;59143.0;19777.0;5167.0;1660.0;493.0;200.0;462.0;118.0
2;_scaled;10;5;0.65;30;0.7382136672742712;0.7072784285560467;0.11714719271623673;0.10756722951844903;0.8662836129625373;0.8688117674097908;0.606282722513089;0.5408805031446541;0.06483762597984323;0.059722222222222225;55959.0;18729.0;8351.0;2708.0;376.0;146.0;579.0;172.0
2;_scaled;10;5;0.65;35;0.7619888856414568;0.7261272096706951;0.10271347539475702;0.09393438753835259;0.8206389335784877;0.8235348195817054;0.7015706806282722;0.6257861635220126;0.05541311719460756;0.05077825976014289;52889.0;17717.0;11421.0;3720.0;285.0;119.0;670.0;199.0
2;_scaled;10;5;0.65;40;0.770991621896882;0.7358712805667507;0.09775629962029685;0.0891773079338497;0.7997548456293573;0.8;0.7413612565445026;0.6698113207547169;0.05232815964523282;0.047768557972639604;51488.0;17191.0;12822.0;4246.0;247.0;105.0;708.0;213.0
2;_scaled;10;5;0.65;45;0.7806760610622142;0.7550863536652522;0.09365804795592562;0.08833047782219684;0.778181261012794;0.779866697310963;0.7832460732984293;0.7295597484276729;0.04980689838860035;0.04701114488348531;50040.0;16734.0;14270.0;4703.0;207.0;86.0;748.0;232.0
2;_scaled;10;5;0.65;50;0.7826000695257997;0.7550644230879249;0.09010808270676691;0.08470335954253037;0.7626599249214739;0.7645598712939554;0.8031413612565445;0.7452830188679245;0.04773165722820337;0.04490337248957939;49008.0;16396.0;15302.0;5041.0;188.0;81.0;767.0;237.0
2;_scaled;10;5;0.65;55;0.7852264595329723;0.7622181187349328;0.08718772503185065;0.08331922099915325;0.7475063203861181;0.7511836359457595;0.8240837696335078;0.7735849056603774;0.046028775295356185;0.04403078575264006;47999.0;16096.0;16311.0;5341.0;168.0;72.0;787.0;246.0
2;_scaled;10;5;0.75;20;0.609843070337477;0.590871217488836;0.1461935092508341;0.12662942271880817;0.9568681529150387;0.9568834750632038;0.2523560209424084;0.2138364779874214;0.10290350128095645;0.08994708994708994;62209.0;20749.0;2101.0;688.0;714.0;250.0;241.0;68.0
2;_scaled;10;5;0.75;25;0.6900744593636353;0.6570667948175185;0.1383248730964467;0.11998064828253507;0.9167700911667815;0.9163870374626523;0.45654450261780105;0.389937106918239;0.08151056272200412;0.07089765580331618;59397.0;19812.0;4913.0;1625.0;519.0;194.0;436.0;124.0
