city,latitude,latitude_NS,longitude,longitude_WE
Mokokchung,26.32,N,94.50,E
Palakkad,10.7700,N,76.6500,E
Adilabad,19.67000,N,78.53000,E
Koppal,15.35,N,76.15,E
Ambur,12.78,N,78.7,E
Churachandpur,24.333,N,93.683,E
Bhiwani,28.78,N,76.13,E
Firozabad,27.15,N,78.42,E
Bhind,26.5587,N,78.7871,E
Pathankot,32.266814,N,75.6,E
Moradabad,28.83,N,78.78,E
Belgaum,15.850,N,74.500,E
Asansol,23.68,N,86.99,E
Rangareddy,17.3,N,78.1,E
Pilibhit,28.6497,N,79.8724,E
Kasaragod,12.5,N,75.0,E
Giridih,24.18,N,86.3,E
Udaipur,24.58,N,73.68,E
Sibsagar,26.98,N,94.63,E
Kailashahar,24.33,N,92.02,E
Karad,17.285,N,74.184,E
Saharsa,25.88,N,86.6,E
Bhopal,23.250,N,77.417,E
Dhule,20.89972,N,74.76972,E
Pondicherry,11.917,N,79.817,E
Malegaon,20.55,N,74.55,E
Hyderabad,17.37,N,78.48,E
Yamuna Nagar,30.133,N,77.288,E
Roorkee,29.8748583,N,77.8899278,E
Nayagarh,20.127,N,85.107,E
Gumla,23,N,84.50,E
Dehradun,30.318,N,78.029,E
Nandurbar,21.37,N,74.25,E
Panchkula,30.74,N,76.80,E
Bandipore,34.4167,N,74.6500,E
Sidhi,24.42,N,81.88,E
Vidisha,23.53,N,77.82,E
Muzaffarpur,26.12250,N,85.39056,E
Amritsar,31.64,N,74.86,E
Indore,22.71667,N,75.84722,E
Kolhapur,16.69167,N,74.23333,E
Latur,18.40,N,76.56,E
Garhwa,24.18,N,83.82,E
Ajmer,26.4499,N,74.6399,E
Jamnagar,22.47,N,70.07,E
Alleppey,9.49,N,76.33,E
Tanuku,16.75,N,81.7,E
Kodad,16.99778,N,79.96528,E
Vellore,12.920219,N,79.133306,E
Gandhinagar,23.223,N,72.650,E
Cachar,25.083,N,92.917,E
Lakshadweep,10.6,N,72.6,E
Bikaner,28.01667,N,73.31194,E
Beawar,26.1,N,74.32,E
Margoa,15.27361,N,73.95806,E
Thoothukudi,8.81,N,78.14,E
Rewari,28.18,N,76.62,E
Kapurthala,31.38,N,75.38,E
Hanumangarh,29.58,N,74.32,E
Keonjhar,21.63,N,85.58,E
Sitamarhi,26.6,N,85.48,E
Hingoli,19.72,N,77.15,E
Nagpur,21.150,N,79.083,E
Satna,24.6005,N,80.8322,E
Narmada,22.66667,N,81.75000,E
Palamu,24.03000,N,84.07000,E
Farrukhabad,27.37,N,79.63,E
Ganjam,19.38,N,85.07,E
Karur,10.95,N,78.08,E
Anuppur,23.1,N,81.68,E
Erode,11.34083,N,77.71722,E
Secunderabad,17.45,N,78.5,E
Jharsuguda,21.85,N,84.03,E
Shivpuri,25.43,N,77.65,E
Bareilly,28.364,N,79.415,E
Kodagu,12.4208,N,75.7397,E
Cuddalore,11.75,N,79.75,E
Jind,29.317,N,76.317,E
Nanded,19.15,N,77.30,E
Osmanabad,18.31944,N,76.07361,E
Pakur,24.63,N,87.85,E
Nagercoil,8.17,N,77.43,E
Pune,18.52028,N,73.85667,E
Coimbatore,11.01833,N,76.97250,E
Mehsana,23.6,N,72.4,E
Barwani,22.03,N,74.9,E
Seraikela Kharsawan,22.70000,N,85.92000,E
Nalbari,26.445,N,91.440,E
Nashik,20.00,N,73.78,E
Firozpur,30.9166,N,74.6,E
Bomdila,27.25,N,92.4,E
Panch Mahals,22.750,N,73.600,E
Davanagere,14.4666,N,75.9242,E
Boudh,20.84,N,84.32,E
Chennai,13.083,N,80.267,E
Tezpur,26.63,N,92.8,E
Buxar,25.56049,N,83.98054,E
Ernakulam,9.98,N,76.28,E
Durgapur,23.55,N,87.32,E
Suryapet,17.1415,N,79.6236,E
Jashpur,22.900,N,84.150,E
Karnal,29.69,N,76.98,E
Hapur,28.730937,N,77.775736,E
Jagatsinghpur,20.27,N,86.17,E
Chikkamagaluru,13.313,N,75.737,E
Auraiya,26.47,N,79.52,E
Jhalawar,24.59,N,76.16,E
Begusarai,25.42,N,86.13,E
Daman & Diu,20.42,N,72.83,E
Kanchipuram,12.82,N,79.71,E
Mahendragarh,28.28,N,76.15,E
Fazilka,30.403,N,74.025,E
Dholpur,26.7,N,77.9,E
Tirupati,13.65,N,79.42,E
Fatehgarh Sahib,30.64722,N,76.39306,E
Jhabua,22.77,N,74.6,E
Khammam,17.25,N,80.16,E
Hoshiarpur,31.53,N,75.92,E
Burdwan,23.233,N,87.867,E
Silchar,24.82,N,92.8,E
Sitapur,27.57,N,80.66,E
Kathua,32.385,N,75.517,E
Rajnandgaon,21.10,N,81.03,E
Bageshwar,29.838,N,79.771,E
Gautam Buddha Nagar,28.5333,N,77.3891,E
Mysore,12.26,N,76.6,E
Bhadrak,21.06,N,86.50,E
Banaskantha,24.17306,N,72.43139,E
Saharanpur,29.964,N,77.546,E
Chandauli,25.27,N,83.27,E
Tiruvannamalai,12.22,N,79.07,E
Bulandshahr,28.4,N,77.85,E
Bharuch,21.712,N,72.993,E
Sheopur,25.67,N,76.7,E
Katni,23.48,N,80.40,E
Balasore,21.49,N,86.93,E
Kottayam,9.5947087,N,76.4855729,E
Kaithal,29.8015,N,76.3998,E
Kolkata,22.5726,N,88.3639,E
Jhansi,25.44862,N,78.56962,E
Karnataka,12.97,N,77.50,E
Tumkur,13.34,N,77.1,E
Bijnor,29.37,N,78.13,E
Murshidabad,24.18,N,88.27,E
Jorhat,26.75,N,94.22,E
Udham Singh Nagar,28.98,N,79.40,E
Mundra,22.85,N,69.73,E
Dimapur,25.92,N,93.73,E
Chittorgarh,24.88,N,74.63,E
Bardhaman,23.233,N,87.867,E
Ariyalur,11.13722,N,79.07778,E
Muktsar,30.29,N,74.31,E
Darjeeling,27.050,N,88.267,E
Shimla,31.10333,N,77.17222,E
Bengaluru,12.983,N,77.583,E
Patiala,30.34,N,76.38,E
Beed,18.99,N,75.76,E
Alappuzha,9.49,N,76.33,E
Lakhisarai,25.16778,N,86.09444,E
Surat,21.17024000,N,72.83106083,E
Madhepura,25.9144400,N,86.7826500,E
Jabalpur,23.167,N,79.933,E
Ludhiana,30.91,N,75.85,E
Nabha,30.37,N,76.15,E
Porbandar,21.63000,N,69.60000,E
Etawah,26.77,N,79.03,E
Vyara,21.12,N,73.4,E
Gwalior,26.221521,N,78.178024,E
Bhubaneswar,20.27,N,85.84,E
Barpeta,26.32,N,91.0,E
Cuttack,20.52361,N,85.78806,E
Phagwara,31.22,N,75.77,E
Ranchi,23.36,N,85.33,E
Navi Mumbai,19.02,N,73.02,E
Goalpara,26.17,N,90.62,E
Jhunjhunu,28.13,N,75.4,E
Palwal,28.143,N,77.329,E
Baramati,18.15,N,74.58,E
Chidambaram,11.4,N,79.7,E
