data_variant;dataset;mean_test_score;mean_train_score;param_learning_rate;param_max_depth;param_n_estimators;param_scale_pos_weight;params
_woe_scaled;3;0.853270945346551;0.9269557534498665;0.1;3;200;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;2;0.8525902097514432;0.9141783566769557;0.01;5;600;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 20}
_woe_scaled;2;0.8521849158080944;0.9163030516497165;0.01;5;600;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 40}
_woe_scaled;2;0.8521832314269973;0.9221328791049874;0.1;3;200;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;2;0.8519753831329534;0.9214225357669927;0.1;3;200;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;2;0.8519745889945218;0.9134507099388299;0.01;5;600;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 20}
_woe_scaled;3;0.8519672294302586;0.9195829227161482;0.01;5;600;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;1;0.8519272781114655;0.9140129046970858;0.1;3;200;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 20}
_woe_scaled;1;0.8519080143458526;0.9137813893422115;0.1;3;200;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;3;0.8518801616854748;0.9186888354235051;0.01;5;600;20;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 20}
_scaled;3;0.8518339974560044;0.9277764187568192;0.1;3;200;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 20}
_scaled;2;0.8516804704176338;0.9156755195686599;0.01;5;600;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 600, 'scale_pos_weight': 40}
